video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
jtd5ecKyCI4,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,시라유키 히나,Shirayuki Hina,UNIVERSE,포탈 클립이 수출됐다는 소식을 들은 히나 [시라유키 히나 클립],2026-03-22T05:52:21Z,80305,,128.0,5280
OfpkKLSQbX4,UCGfoXQT0l8YJA0gfZoJKlXQ,김천마 Gimcheonma Clip,시라유키 히나,Shirayuki Hina,UNIVERSE,진짜 끝나버린 해평 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-10-27T07:50:00Z,29523,577.0,46.0,4250
hquAGAW4aDU,UCUX0sVHjvyeXBgIlKKSzN5Q,시로 캣타워,시라유키 히나,Shirayuki Hina,UNIVERSE,낯을 가리더라도 본능이... / 시라유키 히나 키리누키,2023-08-17T12:53:26Z,5789,99.0,5.0,3570
uEFVaKVW_gY,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 방송 한 번에는 방송 네 번만큼 명언이... [더보기],2026-03-17T04:30:38Z,10768,285.0,50.0,10100
FWKT58m7BhA,UCXJxEy7Wv6tGfmnwuZwCHwA,FTECLIP,시라유키 히나,Shirayuki Hina,UNIVERSE,검은색임 내가봤어 #vtuber #shorts #STELLIVE #버튜버 #히나,2025-10-19T03:00:17Z,459268,8362.0,173.0,6260
64NH-harav4,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 자주 보이는 팬들의 닉네임을 외우는 사람,2025-11-09T20:45:14Z,41823,855.0,99.0,10100
gehhneR0h_k,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 나 그래도 아이돌인데..,2024-08-09T07:16:55Z,172607,1685.0,95.0,10100
VweorIgIjLs,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,시라유키 히나,Shirayuki Hina,UNIVERSE,방송에서 두쫀쿠 냄새 맡는 히나 [시라유키 히나 클립],2026-02-23T00:11:51Z,2226,,7.0,5280
Hh6Kw-JXcj8,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,시라유키 히나,Shirayuki Hina,UNIVERSE,스피커가 고장난줄 알고 구매한 히나(w.에어컨) [시라유키 히나 클립],2026-03-18T06:24:25Z,4380,,23.0,5280
vNeTtbwKuY4,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 후배가 선물한 게임의 상태가 이상하다..,2025-06-08T04:53:14Z,23248,430.0,36.0,10100
yINE-r_tnbc,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,시라유키 히나,Shirayuki Hina,UNIVERSE,F호소인을 보는 F히나 [시라유키 히나(w.리제) 클립],2026-03-26T03:01:01Z,4062,,13.0,5280
wE8mJbwoL6E,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,시라유키 히나,Shirayuki Hina,UNIVERSE,만약 히나가 머머리가 된다면 해둥이들은 좋아해줄거야? 라고 묻는 히나 [시라유키 히나 클립],2026-04-23T14:51:31Z,2364,,8.0,5280
asiwh8SdTD4,UCqzw5-WH7iLU0-svf5-gyhw,레낭의 클립,시라유키 히나,Shirayuki Hina,UNIVERSE,[시라유키 히나] 心做し(마음짓기) Live Cover,2025-10-09T09:26:39Z,6937,118.0,1.0,133
H48icFG4NLY,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 수능 수학 1번 30분 동안 푸는 사람 (틀림),2025-11-16T07:19:34Z,38511,602.0,142.0,10100
